top - 19:55:40 up 12 min,  1 user,  load average: 0.13, 0.26, 0.17
Tasks: 350 total,   1 running, 349 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  7.0 sy,  0.0 ni, 93.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    220.7 free,   2092.9 used,   1784.1 buff/cache     
MiB Swap:   3867.0 total,   3867.0 free,      0.0 used.   1774.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6329 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6343 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6369 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6372 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6389 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6390 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6421 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6654 root      20   0   19644   7216   6064 S   0.0   0.2   0:00.00 sudo
   6655 root      20   0   19644   2588   1308 S   0.0   0.1   0:00.00 sudo
   6656 root      20   0    3336   2412   1772 S   0.0   0.1   0:00.02 uac
   8327 root      20   0    3336   1564   1004 S   0.0   0.0   0:00.01 uac
