total 0
dr-x------ 2 root root   0 Nov 17 19:55 .
lr-------- 1 root root  64 Nov 17 19:55 7863ec7ba000-7863ec7bb000 -> /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7bb000-7863ec7bc000 -> /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7bc000-7863ec7bf000 -> /usr/lib/x86_64-linux-gnu/libpam.so.0.85.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec7bf000-7863ec7c8000 -> /usr/lib/x86_64-linux-gnu/libpam.so.0.85.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec7c8000-7863ec7cb000 -> /usr/lib/x86_64-linux-gnu/libpam.so.0.85.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec7cb000-7863ec7cc000 -> /usr/lib/x86_64-linux-gnu/libpam.so.0.85.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec7cc000-7863ec7cd000 -> /usr/lib/x86_64-linux-gnu/libpam.so.0.85.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec7cd000-7863ec7d6000 -> /usr/lib/x86_64-linux-gnu/libjson-glib-1.0.so.0.800.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7d6000-7863ec7ee000 -> /usr/lib/x86_64-linux-gnu/libjson-glib-1.0.so.0.800.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7ee000-7863ec7f7000 -> /usr/lib/x86_64-linux-gnu/libjson-glib-1.0.so.0.800.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7f7000-7863ec7f8000 -> /usr/lib/x86_64-linux-gnu/libjson-glib-1.0.so.0.800.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7f8000-7863ec7f9000 -> /usr/lib/x86_64-linux-gnu/libjson-glib-1.0.so.0.800.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7f9000-7863ec807000 -> /usr/lib/x86_64-linux-gnu/libaccountsservice.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec807000-7863ec81f000 -> /usr/lib/x86_64-linux-gnu/libaccountsservice.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec81f000-7863ec82b000 -> /usr/lib/x86_64-linux-gnu/libaccountsservice.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec82b000-7863ec82f000 -> /usr/lib/x86_64-linux-gnu/libaccountsservice.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec82f000-7863ec830000 -> /usr/lib/x86_64-linux-gnu/libaccountsservice.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec832000-7863ec838000 -> /usr/lib/x86_64-linux-gnu/libselinux.so.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec838000-7863ec855000 -> /usr/lib/x86_64-linux-gnu/libselinux.so.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec855000-7863ec85b000 -> /usr/lib/x86_64-linux-gnu/libselinux.so.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec85b000-7863ec85c000 -> /usr/lib/x86_64-linux-gnu/libselinux.so.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec85c000-7863ec85d000 -> /usr/lib/x86_64-linux-gnu/libselinux.so.1
lr-------- 1 root root  64 Nov 17 19:55 7863ec85f000-7863ec898000 -> /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec898000-7863ec9af000 -> /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec9af000-7863eca24000 -> /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863eca24000-7863eca2c000 -> /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863eca2c000-7863eca2d000 -> /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863eca2f000-7863eca4d000 -> /usr/lib/x86_64-linux-gnu/libglib-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863eca4d000-7863ecaed000 -> /usr/lib/x86_64-linux-gnu/libglib-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecaed000-7863ecb75000 -> /usr/lib/x86_64-linux-gnu/libglib-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecb75000-7863ecb76000 -> /usr/lib/x86_64-linux-gnu/libglib-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecb76000-7863ecb77000 -> /usr/lib/x86_64-linux-gnu/libglib-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecb78000-7863ecb87000 -> /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecb87000-7863ecbbe000 -> /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecbbe000-7863ecbd7000 -> /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecbd7000-7863ecbda000 -> /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecbda000-7863ecbdb000 -> /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecbdb000-7863ecbf1000 -> /usr/lib/x86_64-linux-gnu/libsystemd.so.0.38.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecbf1000-7863ecc80000 -> /usr/lib/x86_64-linux-gnu/libsystemd.so.0.38.0
lr-------- 1 root root  64 Nov 17 19:55 7863ecc80000-7863eccae000 -> /usr/lib/x86_64-linux-gnu/libsystemd.so.0.38.0
lr-------- 1 root root  64 Nov 17 19:55 7863eccae000-7863eccb9000 -> /usr/lib/x86_64-linux-gnu/libsystemd.so.0.38.0
lr-------- 1 root root  64 Nov 17 19:55 7863eccb9000-7863eccba000 -> /usr/lib/x86_64-linux-gnu/libsystemd.so.0.38.0
lr-------- 1 root root  64 Nov 17 19:55 7863eccbe000-7863eccbf000 -> /usr/lib/x86_64-linux-gnu/security/pam_succeed_if.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccbf000-7863eccc1000 -> /usr/lib/x86_64-linux-gnu/security/pam_succeed_if.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc1000-7863eccc2000 -> /usr/lib/x86_64-linux-gnu/security/pam_succeed_if.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc2000-7863eccc3000 -> /usr/lib/x86_64-linux-gnu/security/pam_succeed_if.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc3000-7863eccc4000 -> /usr/lib/x86_64-linux-gnu/security/pam_succeed_if.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc4000-7863eccc5000 -> /usr/lib/x86_64-linux-gnu/security/pam_nologin.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc5000-7863eccc6000 -> /usr/lib/x86_64-linux-gnu/security/pam_nologin.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc6000-7863eccc7000 -> /usr/lib/x86_64-linux-gnu/security/pam_nologin.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc7000-7863eccc8000 -> /usr/lib/x86_64-linux-gnu/security/pam_nologin.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccc8000-7863eccc9000 -> /usr/lib/x86_64-linux-gnu/security/pam_nologin.so
lr-------- 1 root root  64 Nov 17 19:55 7863eccd1000-7863eccd2000 -> /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863eccd2000-7863eccfd000 -> /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863eccfd000-7863ecd07000 -> /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ecd07000-7863ecd09000 -> /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ecd09000-7863ecd0b000 -> /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
